,Unnamed: 0.1,Unnamed: 0,ID_do_cliente,Idade,Gênero,Item_comprado,Categoria,Valor_da_compra_(USD),Localização,Tamanho,Cor,Temporada,Avaliação_da_avaliação,Status_da_assinatura,Método_de_pagamento,Tipo_de_envio,Desconto_aplicado,Código_promocional_usado,Compras_Anteriores,Método_de_pagamento_preferido,Frequência_de_compras
0,0,0,1,55,Masculino,Blusa,Roupas,53,Kentucky,L,Gray,Inverno,3.1,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Quinzenal
1,1,1,2,19,Masculino,Suéter,Roupas,64,Maine,L,Maroon,Inverno,3.1,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Quinzenal
2,2,2,3,50,Masculino,Jeans,Roupas,73,Massachusetts,S,Maroon,Primavera,3.1,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Semanal
3,3,3,4,21,Masculino,Sandálias,Calçados,90,Rhode Island,M,Maroon,Primavera,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49,PayPal,Semanal
4,4,4,5,45,Masculino,Blusa,Roupas,49,Oregon,M,Turquoise,Primavera,2.7,Yes,Cash,Free Shipping,Yes,Yes,31,PayPal,Anual
5,5,5,6,46,Masculino,Tênis,Calçados,20,Wyoming,M,White,Verão,2.9,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Semanal
6,6,6,7,63,Masculino,Camisa,Roupas,85,Montana,M,Gray,Outono,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Trimestral
7,7,7,8,27,Masculino,Shorts,Roupas,34,Louisiana,L,Charcoal,Inverno,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Semanal
8,8,8,9,26,Masculino,Casaco,Agasalhos,97,West Virginia,L,Silver,Verão,2.6,Yes,Venmo,Express,Yes,Yes,8,Venmo,Anual
9,9,9,10,57,Masculino,Bolsa,Acessórios,31,Missouri,M,Pink,Primavera,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,4,Cash,Trimestral
10,10,10,11,53,Masculino,Sapatos,Calçados,34,Arkansas,L,Purple,Outono,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Cada 2 semanas
11,11,11,12,30,Masculino,Shorts,Roupas,68,Hawaii,S,Olive,Inverno,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Quinzenal
12,12,12,13,61,Masculino,Casaco,Agasalhos,72,Delaware,M,Gold,Inverno,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Quinzenal
13,13,13,14,65,Masculino,Vestido,Roupas,51,New Hampshire,M,Violet,Primavera,4.7,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Semanal
14,14,14,15,64,Masculino,Casaco,Agasalhos,53,New York,L,Teal,Inverno,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Semanal
15,15,15,16,64,Masculino,Saia,Roupas,81,Rhode Island,M,Teal,Inverno,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Mensal
16,16,16,17,25,Masculino,Óculos de sol,Acessórios,36,Alabama,S,Gray,Primavera,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Cada 2 semanas
17,17,17,18,53,Masculino,Vestido,Roupas,38,Mississippi,XL,Lavender,Inverno,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Trimestral
18,18,18,19,52,Masculino,Suéter,Roupas,48,Montana,S,Black,Verão,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Semanal
19,19,19,20,66,Masculino,Calças,Roupas,90,Rhode Island,M,Green,Verão,3.3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Cada 2 semanas
20,20,20,21,21,Masculino,Calças,Roupas,51,Louisiana,M,Black,Inverno,2.8,Yes,Credit Card,Express,Yes,Yes,50,Cash,Cada 3 meses
21,21,21,22,31,Masculino,Calças,Roupas,62,North Carolina,M,Charcoal,Inverno,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Trimestral
22,22,22,23,56,Masculino,Calças,Roupas,37,California,M,Peach,Verão,3.2,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Anual
23,23,23,24,31,Masculino,Calças,Roupas,88,Oklahoma,XL,White,Inverno,4.4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Semanal
24,24,24,25,18,Masculino,Jaqueta,Agasalhos,22,Florida,M,Green,Outono,2.9,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Semanal
25,25,25,26,18,Masculino,Hoodie,Roupas,25,Texas,M,Silver,Verão,3.6,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Anual
